id,name,fundraising_target,fundraising_current,deadline
1,โรงเรียนสีเขียว,50000,12000,2025-12-31
2,สะพานชุมชน,80000,202000,2025-11-15
3,ศูนย์การเรียนรู้ดิจิทัล,120000,130000,2026-01-20
4,โครงการน้ำสะอาด,70000,75000,2025-10-05
5,ห้องสมุดสาธารณะ,90000,40000,2026-03-01
6,ฟาร์มออร์แกนิก,60000,22000,2025-09-30
7,สถานพยาบาลชุมชน,150000,75000,2026-04-10
8,โครงการพลังงานแสงอาทิตย์,200000,430000,2026-02-15
9,สนามเด็กเล่นเพื่อเด็กด้อยโอกาส,40000,15000,2025-12-01
10,การอนุรักษ์ป่าไม้,100000,30000,2026-05-20
